step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,total_grad_norm,mode_weight_0,mode_weight_1
0,207.8531951904297,207.8531951904297,3464.552001953125,3464.552001953125,2.568707895989064e-05,4.747509956359863e-05,0.0,0,0.001,0.001,0.001,0.9989732503890991,71.4471664428711,69.1466424621013,0.05746603012084961,7.234505245029848,9.830272308488992,12.638145846302146,17.569719697018904,0.5048696398735046,0.495130330324173
1,190.41685485839844,190.41685485839844,3189.633056640625,3189.633056640625,2.3335363948717713e-05,3.197789192199707e-05,0.0,0,0.001,0.001,0.001,0.9884985089302063,71.42051696777344,69.2921959844361,0.057053446769714355,16.442855414299544,35.07488441779229,27.695010277009747,47.619624162111194,0.5039974451065063,0.49600252509117126
2,173.68441772460938,173.68441772460938,2257.66552734375,2257.66552734375,5.235249409452081e-05,0.0001404881477355957,0.0,0,0.001,0.001,0.001,0.8076152205467224,71.45330047607422,68.57253176684549,0.057739436626434326,36.33419085300903,147.96885568905535,74.85750050587512,169.7604225397029,0.5083820223808289,0.49161800742149353
3,49.506465911865234,49.506465911865234,752.3968505859375,752.3968505859375,9.036943083629012e-05,0.00010460615158081055,0.0,0,0.001,0.001,0.001,0.42097580432891846,71.38224792480469,68.71021385712335,0.057933926582336426,16.325513500593726,210.86961404578292,53.00551918289872,218.04151343889578,0.5072335004806519,0.4927665591239929
4,106.65599822998047,106.65599822998047,637.3375854492188,637.3375854492188,0.00025994362658821046,0.0009313821792602539,0.0,0,0.001,0.001,0.001,0.16771164536476135,71.40718841552734,66.21807320411263,0.05920010805130005,174.9766263298766,1154.1268022114753,100.60465250017158,1171.64277467552,0.5215698480606079,0.4784301519393921
5,101.56094360351562,101.56094360351562,1384.156005859375,1384.156005859375,0.0007888319087214768,0.0027258992195129395,0.0,0,0.001,0.001,0.001,0.2029142677783966,71.4354019165039,63.11407657132961,0.05950814485549927,49.25875370768639,461.4658744713638,105.37025288940816,475.8992207520756,0.5368680357933044,0.46313199400901794
6,153.0404052734375,153.0404052734375,1625.53466796875,1625.53466796875,0.0007027985993772745,0.002127736806869507,0.0,0,0.001,0.001,0.001,0.19492089748382568,71.36309814453125,63.89664354124539,0.060119688510894775,71.64759142836348,386.1746522933611,149.1678081733543,420.1372090479807,0.5325829386711121,0.4674171209335327
7,122.64178466796875,122.64178466796875,1343.432861328125,1343.432861328125,0.002048599999397993,0.006952077150344849,0.0,0,0.001,0.001,0.001,0.14735352993011475,71.44320678710938,58.7155005742775,0.05984014272689819,61.050256247872895,370.6192262685492,133.9503916267024,398.7837159222728,0.5587535500526428,0.4412464499473572
8,110.00696563720703,110.00696563720703,1081.859375,1081.859375,0.0015703433891758323,0.004991024732589722,0.0,0,0.001,0.001,0.001,0.06828691810369492,71.34597778320312,60.566383148152035,0.061228394508361816,60.691576922889894,363.8732188399715,129.68885827028467,391.0324626649287,0.5498307943344116,0.45016923546791077
9,82.49591827392578,82.49591827392578,815.8304443359375,815.8304443359375,0.00017977470997720957,0.0003306567668914795,0.0,0,0.001,0.001,0.001,0.08429109305143356,71.34412384033203,67.79689334772414,0.06163734197616577,40.06809569049191,282.26444162732565,107.99307375094003,304.86254489134006,0.5128565430641174,0.48714348673820496
